COMPOUND	A	B	C	D
1,2-DIMETHYL BENZENE	-15.85	0.5962	-0.0003443	7.528E-08
1,3-BUTADIENE	-1.687	0.3419	-0.000234	6.335E-08
1,3-DIMETHYL BENZENE	-29.17	0.6297	-0.0003747	8.478E-08
1,4-DIMETHYL BENZENE	-1.509	0.6042	-0.0003374	6.82E-08
1-BUTANOL	3.266	0.418	-0.0002242	4.685E-08
1-BUTENE	-2.994	0.3532	-0.000199	4.463E-08
1-METHYLNAPHTHALENE	-64.82	0.9387	-0.0006942	2.016E-07
1-PENTENE	-0.134	0.4329	-0.0002317	4.681E-08
2-BUTANONE	10.94	0.3559	-0.00019	3.92E-08
2-METHYL-1,3-BUTADIENE	-3.412	0.4585	-0.0003337	1E-07
2-PROPANOL	32.43	0.1885	6.406E-05	-9.261E-08
ACETIC ACID	4.84	0.2549	-0.0001753	4.949E-08
ACETONE	6.301	0.2606	-0.0001253	2.038E-08
ACETONITRILE 	20.48	0.1196	-4.492E-05	3.203E-09
ACETYLENE	26.82	0.07578	-5.007E-05	1.412E-08
AMMONIA	27.31	0.02383	1.707E-05	-1.185E-08
ARGON	20.8	0	0	0
BENZENE	-33.92	0.4739	-0.0003017	7.13E-08
BROMINE	33.86	0.01125	-1.192E-05	4.534E-09
CARBON DIOXIDE	19.8	0.07344	-5.602E-05	1.715E-08
CARBON DISULFIDE	27.44	0.08127	-7.666E-05	2.673E-08
CARBON MONOXIDE	30.87	-0.01285	2.789E-05	-1.272E-08
CARBON TETRACHLORIDE	40.72	0.2049	-0.000227	8.843E-08
CHLORINE	26.93	0.03384	-3.869E-05	1.547E-08
CHLOROBENZENE	-33.89	0.5631	-0.0004522	1.426E-07
CHLOROFORM	24	0.1893	-0.0001841	6.657E-08
CYCLOHEXANE	-54.54	0.6113	-0.0002523	1.321E-08
CYCLOPENTANE	-53.62	0.5426	-0.0003031	6.485E-08
DIETHYL ETHER	21.42	0.3359	-0.0001035	-9.357E-09
DIPHENYL	-97.07	1.106	-0.0008855	2.79E-07
ETHANE	5.409	0.1781	-6.938E-05	8.713E-09
ETHANOL	9.014	0.2141	-8.39E-05	1.373E-09
ETHYLBENZENE	-43.1	0.7072	-0.0004811	1.301E-07
ETHYLENE OXIDE	-7.519	0.2222	-0.0001256	2.592E-08
ETHYLENE	3.806	0.1566	-8.348E-05	1.755E-08
FREON-11	40.98	0.1668	-0.0001416	4.146E-08
FREON-113	61.14	0.2874	-0.000242	6.904E-08
FREON-12	31.6	0.1782	-0.0001509	4.342E-08
FREON-22	17.3	0.1618	-0.000117	3.058E-08
HELIUM	20.8	0	0	0
HYDRAZINE	9.768	0.1895	-0.0001657	6.025E-08
HYDROGEN CHLORIDE	30.67	-0.007201	1.246E-05	-3.898E-09
HYDROGEN CYANIDE	21.86	0.06062	-4.961E-05	1.815E-08
HYDROGEN SULFIDE	31.94	0.001436	2.432E-05	-1.176E-08
HYDROGEN	27.14	0.009274	-1.381E-05	7.645E-09
ISOBUTANE	-1.39	0.3847	-0.0001846	2.895E-08
ISOBUTANOL	-7.708	0.4689	-0.0002884	7.231E-08
ISOBUTENE	16.05	0.2804	-0.0001091	9.098E-09
ISOBUTYLENE	16.05	0.2804	-0.0001091	9.098E-09
ISOPENTANE	-9.525	0.5066	-0.0002729	5.723E-08
ISOPROPYLBENZENE	-33.936	0.7842	-0.0005087	1.291E-07
KRYPTON	20.8	0	0	0
METHANE	19.25	0.05213	1.197E-05	-1.132E-08
METHANOL	21.15	0.07092	2.587E-05	-2.852E-08
METHYL CHLORIDE	13.88	0.1014	-3.889E-05	2.567E-09
METHYLCYCLOHEXANE	-61.92	0.7842	-0.0004438	9.366E-08
METHYLCYCLOPENTANE	-50.11	0.6381	-0.0003642	8.014E-08
NAPHTHALENE	-68.8	0.8499	-0.0006506	1.981E-07
NEON	20.8	0	0	0
NEOPENTANE	-16.59	0.5552	-0.0003306	7.633E-08
NITRIC OXIDE	29.35	-0.0009378	9.747E-06	-4.187E-09
NITROGEN	31.15	-0.01357	2.68E-05	-1.168E-08
NITROUS OXIDE	21.62	0.07281	-5.778E-05	1.83E-08
OXYGEN	28.11	-3.68E-06	1.746E-05	-1.065E-08
PROPANE	-4.224	0.3063	-0.0001586	3.215E-08
PROPANOL	2.47	0.3325	-0.0001855	4.296E-08
PROPYLENE	3.71	0.2345	-0.000116	2.205E-08
SULFUR DIOXIDE	23.85	0.06699	-4.961E-05	1.328E-08
SULFUR TRIOXIDE	19.21	0.1374	-0.0001176	3.7E-08
TETRAHYDROFURAN	19.1	0.5162	-0.0004132	1.454E-07
TOLUENE	-24.35	0.5125	-0.0002765	4.911E-08
WATER	32.24	0.001924	1.055E-05	-3.596E-09
XENON	20.8		0	0
n-BUTANE	9.487	0.3313	-0.0001108	-2.822E-09
n-DECANE	-7.913	0.9609	-0.0005288	1.131E-07
n-DODECANE	-9.328	1.149	-0.0006347	1.359E-07
n-HEPTANE	-5.146	0.6762	-0.0003651	7.658E-08
n-HEXADECANE	-13.02	1.529	-0.0008537	1.85E-07
n-HEXANE	-4.413	0.528	-0.0003119	6.494E-08
n-NONANE	-8.374	0.8729	-0.0004823	1.031E-07
n-OCTANE	-6.096	0.7712	-0.0004195	8.855E-08
n-PENTANE	-3.626	0.4873	-0.000258	5.305E-08
n-TETRADECANE	-10.98	1.338	-0.0007423	1.598E-07
